20230506101829229189,0000000000,-80,0
20230506101829236881,0000000001,-77,0
20230506101829244573,0000000002,-82,0
20230506101829252266,0000000003,-94,0
20230506101829259958,0000000004,-99,0
20230506101829267650,0000000005,-84,0
20230506101829275343,0000000006,-87,0
20230506101829283035,0000000007,-99,0
20230506101829290727,0000000008,-94,0
20230506101829298420,0000000009,-82,0
20230506101829306112,0000000010,-82,0
20230506101829313804,0000000011,-92,0
20230506101829321497,0000000012,-92,0
20230506101829329189,0000000013,-82,0
20230506101829336881,0000000014,-92,0
20230506101829344573,0000000015,-109,0
20230506101829352266,0000000016,-101,0
20230506101829359958,0000000017,-101,0
20230506101829367650,0000000018,-109,0
20230506101829375343,0000000019,-101,0
20230506101829383035,0000000020,-99,0
20230506101829390727,0000000021,-101,0
20230506101829398420,0000000022,-97,0
20230506101829406112,0000000023,-97,0
20230506101829413804,0000000024,-97,0
20230506101829421497,0000000025,-89,0
20230506101829429189,0000000026,-92,0
20230506101829436881,0000000027,-99,0
20230506101829444573,0000000028,-87,0
20230506101829452266,0000000029,-75,0
20230506101829459958,0000000030,-89,0
20230506101829467650,0000000031,-89,0
20230506101829475343,0000000032,-67,0
20230506101829483035,0000000033,-55,0
20230506101829490727,0000000034,-53,0
20230506101829498420,0000000035,-41,0
20230506101829506112,0000000036,-29,0
20230506101829513804,0000000037,-29,0
20230506101829521497,0000000038,-41,0
20230506101829529189,0000000039,-48,0
20230506101829536881,0000000040,-48,0
20230506101829544573,0000000041,-63,0
20230506101829552266,0000000042,-82,0
20230506101829559958,0000000043,-92,0
20230506101829567650,0000000044,-104,0
20230506101829575343,0000000045,-116,0
20230506101829583035,0000000046,-118,0
20230506101829590727,0000000047,-101,0
20230506101829598420,0000000048,-94,0
20230506101829606112,0000000049,-104,0
20230506101829613804,0000000050,-104,0
20230506101829621497,0000000051,-87,0
20230506101829629189,0000000052,19,0
20230506101829636881,0000000053,266,0
20230506101829644573,0000000054,400,0
20230506101829652266,0000000055,97,0
20230506101829659958,0000000056,-395,0
20230506101829667650,0000000057,-572,0
