20230408181522536247,0000000000,105270,160199,266507,-184280
20230408181522554428,0000000001,105412,160215,266648,-184150
20230408181522572610,0000000002,105432,160154,266915,-184581
20230408181522590792,0000000003,105653,160535,267410,-184931
20230408181523410852,0000000004,100947,153980,262669,-184279
20230408181523429033,0000000005,101101,153996,262680,-184150
20230408181523447215,0000000006,101249,153935,262947,-184581
20230408181523465397,0000000007,101736,153922,262942,-184837
20230408181523944329,0000000008,100234,152357,259902,-184298
20230408181523962510,0000000009,100436,152117,259637,-184551
20230408181523980692,0000000010,100540,152056,259904,-184982
20230408181523998874,0000000011,100142,151917,259853,-185363
20230408181524681265,0000000012,97243,146893,256023,-184243
20230408181524699446,0000000013,97431,146397,256405,-184499
20230408181524717628,0000000014,97609,146336,256672,-184930
20230408181524735810,0000000015,97104,146140,256619,-185313
20230408181525801736,0000000016,96223,145250,251914,-184307
20230408181525819917,0000000017,96459,145266,252351,-184563
20230408181525838099,0000000018,96635,145205,252618,-184994
20230408181525856281,0000000019,96502,145191,253081,-185215
20230408181526527398,0000000020,93753,142407,245992,-184266
20230408181526545579,0000000021,93805,142871,246041,-184522
20230408181526563761,0000000022,93913,142810,246308,-184953
20230408181526581943,0000000023,94373,142883,246244,-184957
20230408181527312753,0000000024,88721,137074,238300,-184220
20230408181527330934,0000000025,88953,136770,238383,-184475
20230408181527349116,0000000026,88991,136709,238650,-184330
20230408181527367298,0000000027,88955,136831,238855,-183822
20230408181528038695,0000000028,87169,132875,237514,-184220
20230408181528056876,0000000029,87393,133083,237407,-184473
20230408181528075058,0000000030,87431,133022,237674,-184120
20230408181528093240,0000000031,87335,132716,237809,-183736
20230408181528721319,0000000032,91063,140446,242820,-184203
20230408181528739500,0000000033,91099,140526,242518,-184459
20230408181528757682,0000000034,91273,140465,242785,-184890
20230408181528775864,0000000035,91573,140729,243061,-184764
20230408181529501787,0000000036,94227,143271,247308,-184243
20230408181529519968,0000000037,94471,143287,246847,-184498
20230408181529538150,0000000038,94649,143226,247114,-184865
20230408181529556332,0000000039,94425,143623,247242,-184607
20230408181529796353,0000000040,95076,142386,253209,-184221
20230408181529814534,0000000041,95128,140726,253396,-185137
20230408181529832716,0000000042,94884,141505,253208,-183302
20230408181529850898,0000000043,92895,139645,251480,-181378
20230408181530525155,0000000044,106858,160125,270308,-184187
20230408181530543336,0000000045,106744,160189,270347,-184195
20230408181530561518,0000000046,106500,160236,270348,-184025
20230408181530579700,0000000047,106596,160475,270618,-183704
20230408181531258622,0000000048,112547,164251,277914,-184207
20230408181531276803,0000000049,112676,163819,277855,-184077
20230408181531294985,0000000050,112818,163758,278122,-183820
20230408181531313167,0000000051,113339,164280,279123,-183631
20230408181531993929,0000000052,109207,162700,282170,-184051
20230408181532012110,0000000053,109429,162460,281951,-183922
20230408181532030292,0000000054,109605,162431,282218,-184353
20230408181532048474,0000000055,109326,161932,281892,-183845
20230408181532724515,0000000056,112471,163890,285214,-184032
20230408181532742696,0000000057,112472,163394,285637,-183903
20230408181532760878,0000000058,112476,163365,285904,-184334
20230408181532779060,0000000059,112566,163149,285664,-184653
20230408181533547009,0000000060,111563,164049,284957,-184086
20230408181533565190,0000000061,111564,163553,285384,-183956
20230408181533583372,0000000062,111755,161510,284871,-185126
20230408181533601554,0000000063,111945,162286,284655,-185141
20230408181534181576,0000000064,111987,163050,284932,-184194
20230408181534199757,0000000065,112049,163066,285350,-184064
20230408181534217939,0000000066,112175,163005,285617,-184495
20230408181534236121,0000000067,112442,162635,285673,-184172
20230408181534917495,0000000068,115175,165105,286647,-184181
20230408181534935676,0000000069,115208,164929,286565,-184050
20230408181534953858,0000000070,115417,164868,286832,-183793
20230408181534972040,0000000071,114741,165378,287451,-185060
20230408181535643773,0000000072,117802,168939,291109,-184166
20230408181535661954,0000000073,118003,169211,291343,-184036
20230408181535680136,0000000074,118092,169150,291610,-184467
20230408181535698318,0000000075,118108,169033,291906,-184018
20230408181536429565,0000000076,120944,171779,295213,-184163
20230408181536447746,0000000077,121193,172051,295240,-184033
20230408181536465928,0000000078,121378,171990,295507,-184464
20230408181536484110,0000000079,121261,172296,295566,-184431
20230408181537160208,0000000080,125390,176574,299058,-184163
20230408181537178389,0000000081,125275,176638,299134,-184154
20230408181537196571,0000000082,125031,176685,299135,-184080
20230408181537214753,0000000083,124771,176198,299397,-184191
20230408181538232673,0000000084,128869,179328,301982,-184148
20230408181538250854,0000000085,128930,178896,302389,-184017
20230408181538269036,0000000086,128983,178835,302656,-184448
20230408181538287218,0000000087,128707,178388,302708,-184062
20230408181538963794,0000000088,125261,176860,300304,-184149
20230408181538981975,0000000089,125338,176364,299936,-184019
20230408181539000157,0000000090,125551,176303,300203,-183794
20230408181539018339,0000000091,125822,176232,300698,-183921
20230408181539741909,0000000092,124105,176334,300261,-184100
20230408181539760090,0000000093,124118,176798,299903,-183972
20230408181539778272,0000000094,124177,176737,300170,-184083
20230408181539796454,0000000095,124492,176566,300653,-184466
20230408181540080786,0000000096,128661,182382,302996,-184222
20230408181540098967,0000000097,128680,183042,303245,-183100
20230408181540117149,0000000098,128436,183821,304337,-184243
20230408181540135331,0000000099,129383,185833,306321,-185419
20230408181540768075,0000000100,124459,177827,299210,-184184
20230408181540786256,0000000101,124568,179159,299219,-183910
20230408181540804438,0000000102,124324,179938,301043,-183837
20230408181540822620,0000000103,123884,177982,301235,-184653
20230408181541544643,0000000104,132419,183918,301881,-184188
20230408181541562824,0000000105,132534,183678,302290,-184057
20230408181541581006,0000000106,132567,183617,302557,-184536
20230408181541599188,0000000107,132680,184033,302363,-184791
20230408181542425507,0000000108,134410,189301,301489,-184171
20230408181542443688,0000000109,134609,189125,301897,-184041
20230408181542461870,0000000110,134778,189064,302164,-183816
20230408181542480052,0000000111,135198,188993,302479,-183692
20230408181542663543,0000000112,129433,185937,306573,-184205
20230408181542681724,0000000113,145924,166914,293805,-200833
20230408181542699906,0000000114,119308,134234,261251,-200814
20230408181542718088,0000000115,119299,101532,228644,-200676
20230408181543351808,0000000116,133109,185991,307521,-184149
20230408181543369989,0000000117,133216,186135,307737,-184019
20230408181543388171,0000000118,133429,186074,308004,-184450
20230408181543406353,0000000119,133864,186086,308044,-184708
20230408181544082923,0000000120,132980,184385,305947,-184119
20230408181544101104,0000000121,132991,184449,305907,-184162
