20230429105826138746,0000000000,-168188,-153121,-62554,-507559,0
20230429105826157027,0000000001,-168373,-153281,-62816,-507571,0
20230429105826175309,0000000002,-168467,-153405,-63124,-507633,0
20230429105826193590,0000000003,-168689,-153708,-63465,-507624,0
20230429105826211872,0000000004,-168823,-153841,-63609,-507621,0
20230429105826230153,0000000005,-168987,-154103,-63838,-507633,0
20230429105826248435,0000000006,-169123,-154194,-64095,-507649,0
20230429105826266716,0000000007,-169173,-154338,-64298,-507667,0
20230429105826284998,0000000008,-169140,-154427,-64436,-507617,0
20230429105826303279,0000000009,-169115,-154538,-64588,-507570,0
20230429105826321561,0000000010,-168875,-154601,-64595,-507599,0
20230429105826339843,0000000011,-168581,-154484,-64615,-507559,0
20230429105826358124,0000000012,-168401,-154426,-64557,-507624,0
20230429105826376406,0000000013,-168059,-154277,-64423,-507593,0
20230429105826394687,0000000014,-167659,-153892,-64294,-507566,0
20230429105826412969,0000000015,-167242,-153623,-64097,-507585,0
20230429105826431250,0000000016,-166773,-153212,-63806,-507589,0
20230429105826449532,0000000017,-166373,-152703,-63540,-507595,0
20230429105826467813,0000000018,-165936,-152303,-63182,-507610,0
20230429105826486095,0000000019,-165624,-151900,-62857,-507574,0
20230429105826504376,0000000020,-165329,-151525,-62545,-507635,0
20230429105826522658,0000000021,-165018,-151310,-62176,-507524,0
20230429105826540939,0000000022,-164721,-151034,-61858,-507632,0
20230429105826559221,0000000023,-164541,-150844,-61458,-507631,0
20230429105826577503,0000000024,-164254,-150723,-61061,-507600,0
20230429105826595784,0000000025,-163919,-150516,-60673,-507528,0
20230429105826614066,0000000026,-163672,-150229,-60286,-507567,0
20230429105826632347,0000000027,-163365,-149860,-59876,-507616,0
20230429105826650629,0000000028,-163105,-149491,-59541,-507630,0
20230429105826668910,0000000029,-162835,-149218,-59160,-507541,0
20230429105826687192,0000000030,-162663,-149014,-58847,-507636,0
20230429105826705473,0000000031,-162510,-148776,-58455,-507668,0
20230429105826723755,0000000032,-162429,-148711,-58369,-507551,0
20230429105826742036,0000000033,-162507,-148750,-58335,-507567,0
20230429105826760318,0000000034,-162769,-148854,-58537,-507600,0
20230429105826778599,0000000035,-163106,-148919,-58650,-507635,0
20230429105826796881,0000000036,-163472,-149015,-58879,-507658,0
20230429105826815162,0000000037,-163942,-149236,-59194,-507609,0
20230429105826833444,0000000038,-164410,-149539,-59713,-507630,0
20230429105826848317,0000000039,-164835,-149986,-60098,-507612,0
20230429105826866598,0000000040,-165356,-150163,-60112,-507530,0
20230429105826884880,0000000041,-165733,-150419,-60707,-507571,0
20230429105826903161,0000000042,-166090,-150918,-61445,-507607,0
20230429105826921443,0000000043,-166325,-151275,-61821,-507601,0
20230429105826939724,0000000044,-166580,-151605,-62036,-507632,0
20230429105826958006,0000000045,-166790,-151816,-62212,-507636,0
20230429105826976288,0000000046,-166994,-151912,-62464,-507588,0
20230429105826994569,0000000047,-167179,-152037,-62743,-507562,0
20230429105827012851,0000000048,-167358,-152330,-62966,-507615,0
20230429105827031132,0000000049,-167595,-152634,-63199,-507599,0
20230429105827049414,0000000050,-167854,-152866,-63368,-507602,0
20230429105827067695,0000000051,-167926,-153026,-63566,-507603,0
20230429105827085977,0000000052,-168075,-153247,-63759,-507601,0
20230429105827104258,0000000053,-168270,-153469,-63922,-507627,0
20230429105827122540,0000000054,-168354,-153686,-64111,-507659,0
