20230408191637212798,0000002536,96044,149681,270714,-184256
20230408191637230979,0000002537,96062,149569,270783,-184126
20230408191637249161,0000002538,96064,149508,271050,-184557
20230408191637267343,0000002539,96058,149754,271101,-184236
20230408191637943240,0000002540,94573,146931,269703,-184183
20230408191637961421,0000002541,94761,147011,269589,-184053
20230408191637979603,0000002542,94906,146950,269856,-184212
20230408191637997785,0000002543,95361,146746,269879,-184343
20230408191638334147,0000002544,98186,148433,269420,-184131
20230408191638352328,0000002545,98380,148833,269295,-184003
20230408191638370510,0000002546,98569,148772,269562,-183682
20230408191638388692,0000002547,99064,149162,269620,-183205
20230408191639015773,0000002548,99283,151220,270210,-184213
20230408191639033954,0000002549,99397,151300,270086,-184082
20230408191639052136,0000002550,99611,151239,270353,-183825
20230408191639070318,0000002551,98335,151224,271131,-183044
20230408191639748446,0000002552,95150,148496,269419,-184177
20230408191639766627,0000002553,95184,148896,269304,-184049
20230408191639784809,0000002554,95425,148835,269571,-184432
20230408191639802991,0000002555,95832,148701,269251,-184624
20230408191640478793,0000002556,91208,144407,266710,-184128
20230408191640496974,0000002557,91252,146123,266846,-184078
20230408191640515156,0000002558,91008,146902,268054,-183871
20230408191640533338,0000002559,90991,146883,266901,-184074
20230408191641209831,0000002560,92983,146305,263374,-184181
20230408191641228012,0000002561,93203,146513,262869,-184053
20230408191641246194,0000002562,93412,146452,263136,-183780
20230408191641264376,0000002563,93095,146440,262816,-183271
20230408191641942401,0000002564,89772,144796,259410,-184110
20230408191641960582,0000002565,89944,144428,259142,-184364
20230408191641978764,0000002566,90019,144367,259409,-184795
20230408191641996946,0000002567,89743,144121,259393,-185244
20230408191642674897,0000002568,89768,141629,260010,-184235
20230408191642693078,0000002569,89916,141965,259743,-184488
20230408191642711260,0000002570,90086,141904,260010,-184919
20230408191642729442,0000002571,90517,141641,259722,-185414
20230408191643403779,0000002572,92698,143396,259856,-184212
20230408191643421960,0000002573,92710,142900,259584,-184465
20230408191643440142,0000002574,92764,142839,259851,-184144
20230408191643458324,0000002575,92823,142843,260035,-184622
20230408191644135371,0000002576,91869,141172,259983,-184184
20230408191644153552,0000002577,92097,141252,259726,-184437
20230408191644171734,0000002578,92114,141191,259993,-184756
20230408191644189916,0000002579,92262,141394,260040,-184499
20230408191644866752,0000002580,91213,143576,258463,-184194
20230408191644884933,0000002581,91225,143144,258718,-184448
20230408191644903115,0000002582,91351,143083,258985,-184095
20230408191644921297,0000002583,91104,142904,258985,-184382
20230408191645597659,0000002584,91088,144121,260569,-184238
20230408191645615840,0000002585,91164,143817,261074,-184492
20230408191645634022,0000002586,91238,143756,261341,-184923
20230408191645652204,0000002587,91493,143614,261397,-184890
20230408191646328638,0000002588,94922,143975,264969,-184196
20230408191646346819,0000002589,94998,143991,265234,-184065
20230408191646365001,0000002590,95060,143930,265501,-184496
20230408191646383183,0000002591,94765,143616,265692,-184432
20230408191647055558,0000002592,93787,144487,263462,-184164
20230408191647073739,0000002593,93831,144759,262956,-184034
20230408191647091921,0000002594,93888,144698,263223,-184465
20230408191647110103,0000002595,94164,145087,263207,-184398
20230408191647793008,0000002596,99085,150239,269964,-184118
20230408191647811189,0000002597,99167,150319,269839,-183989
20230408191647829371,0000002598,99250,150258,270106,-184420
20230408191647847553,0000002599,99591,149939,270246,-184453
20230408191648520703,0000002600,103757,153824,277337,-184121
20230408191648538884,0000002601,103783,153456,277794,-183990
20230408191648557066,0000002602,104010,153395,278061,-184181
20230408191648575248,0000002603,104046,153526,277605,-184179
20230408191648861306,0000002604,103114,153767,278047,-184168
20230408191648879487,0000002605,103140,153643,278171,-183766
20230408191648897669,0000002606,102896,154422,279519,-183755
20230408191648915851,0000002607,103183,154431,280031,-183553
20230408191649593748,0000002608,99741,150784,274084,-184132
20230408191649611929,0000002609,99919,151380,274200,-183154
20230408191649630111,0000002610,99675,152159,275292,-182946
20230408191649648293,0000002611,100515,153958,274523,-184768
20230408191650324596,0000002612,103144,154971,278638,-184234
20230408191650342777,0000002613,103330,156863,278640,-182536
20230408191650360959,0000002614,103086,157642,276660,-181315
20230408191650379141,0000002615,102358,158753,277172,-180281
20230408191651065064,0000002616,108695,161684,280917,-184159
20230408191651083245,0000002617,108933,161316,281215,-184029
20230408191651101427,0000002618,109066,161255,281482,-184460
20230408191651119609,0000002619,108678,161383,280974,-184464
20230408191651788959,0000002620,111242,162247,288170,-184230
20230408191651807140,0000002621,111400,162583,287759,-184100
20230408191651825322,0000002622,111490,162522,288026,-184035
20230408191651843504,0000002623,111652,162916,287530,-184096
20230408191652517602,0000002624,108914,158674,290646,-184159
20230408191652535783,0000002625,109128,158306,290492,-184028
20230408191652553965,0000002626,109261,158245,290759,-184459
20230408191652572147,0000002627,108936,158559,290308,-184015
20230408191653308243,0000002628,106697,159470,288209,-184116
20230408191653326424,0000002629,106815,159166,287801,-183986
20230408191653344606,0000002630,106866,159105,288068,-184417
20230408191653362788,0000002631,107200,158978,288351,-184546
20230408191654032346,0000002632,110067,160460,289714,-184150
20230408191654050527,0000002633,110145,160284,290070,-184019
20230408191654068709,0000002634,110230,160223,290337,-183794
20230408191654086891,0000002635,110515,160335,290800,-183796
20230408191654762866,0000002636,109457,159000,288502,-184220
20230408191654781047,0000002637,109639,158952,288092,-184091
20230408191654799229,0000002638,109677,158891,288359,-184522
20230408191654817411,0000002639,109684,159018,288854,-184745
20230408191655446804,0000002640,103488,153414,283947,-184204
20230408191655464985,0000002641,103722,153686,283608,-184074
20230408191655483167,0000002642,103768,153625,283875,-184505
